Name;Temperature;HTC;Temp Amplitude;HTC Amplitude;Part;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_LFD_damping_volume;483;50;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_LFD_mixer;483;50;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_air_side1;483;50;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_tubes_row3_air;483;841;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_LFD_inner;483;895;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_air_side2;483;895;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_SB_transition_piece_air_side;483;941;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_tubes_row1_air;483;2049;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA_mixer_tubes_row2_air;483;2120;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Inner;492;50;T_ampl_Tk2;HTC_mk2_scale;dempher_big-1;dempher_big-2;demphers_small-1-1-rad-2;demphers_small-1-1-rad-16;demphers_small-1-1-rad-17;demphers_small-1-1-rad-18;demphers_small-1-1-rad-32;demphers_small-1-1;demphers_small-1-2;demphers_small-1-3;demphers_small-1-4;demphers_small-1-5;demphers_small-1-6;demphers_small-1-7;demphers_small-1-8;demphers_small-1-9;demphers_small-1-10;demphers_small-1-11;demphers_small-1-12;demphers_small-1-13;demphers_small-1-14;demphers_small-1-15;demphers_small-1-16;demphers_small-1-17;demphers_small-1-18;demphers_small-1-19;demphers_small-1-20;demphers_small-1-21
TA_SB_HulaSeal;492;352;T_ampl_Tk2;HTC_mk2_scale;;;;;;;;;;;;;;;;;;;;;;;;;;;;
